Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
SIMDBP128,3877419424,6730.51,msrc_split,11273.99,300 files,-1,0,16,10,f,11254575040,None,0,34.45
Simple8B,4258128608,2348.16,msrc_split,5560.04,300 files,-1,0,16,10,f,11314112320,None,0,37.64
Memcpy,13681590080,5026.06,msrc_split,7461.11,300 files,-1,0,16,11,f,13681590080,None,0,100.0
SIMDBP128,4701587008,6927.39,msrc_split,12128.78,300 files,-1,0,16,11,f,13649368640,None,0,34.45
Simple8B,5154029912,2239.23,msrc_split,5961.59,300 files,-1,0,16,11,f,13688282880,None,0,37.65
Memcpy,16285559360,4990.47,msrc_split,6612.11,300 files,-1,0,16,12,f,16285559360,None,0,100.0
SIMDBP128,5598170688,6872.22,msrc_split,11082.54,300 files,-1,0,16,12,f,16255200640,None,0,34.44
Simple8B,6123842376,2245.21,msrc_split,5763.82,300 files,-1,0,16,12,f,16265684160,None,0,37.65
Memcpy,19092577280,4754.02,msrc_split,7124.27,300 files,-1,0,16,13,f,19092577280,None,0,100.0
SIMDBP128,6576811648,6336.85,msrc_split,11332.98,300 files,-1,0,16,13,f,19092892480,None,0,34.45
Simple8B,7182932504,2042.22,msrc_split,5875.85,300 files,-1,0,16,13,f,19080279040,None,0,37.65
Memcpy,22132977600,4759.36,msrc_split,7324.42,300 files,-1,0,16,14,f,22132977600,None,0,100.0
SIMDBP128,7626570160,6780.28,msrc_split,11101.79,300 files,-1,0,16,14,f,22144634880,None,0,34.44
Simple8B,8328640088,2182.09,msrc_split,5470.31,300 files,-1,0,16,14,f,22111791360,None,0,37.67
Memcpy,25402485760,4890.11,msrc_split,7663.78,300 files,-1,0,16,15,f,25402485760,None,0,100.0
SIMDBP128,8758700320,6891.88,msrc_split,12447.03,300 files,-1,0,16,15,f,25430065600,None,0,34.44
Simple8B,9561939880,2329.52,msrc_split,5744.93,300 files,-1,0,16,15,f,25380226880,None,0,37.67
Memcpy,28910242560,2656.31,msrc_split,6845.71,300 files,-1,0,16,16,f,28910242560,None,0,100.0
SIMDBP128,9958946528,6542.18,msrc_split,12108.26,300 files,-1,0,16,16,f,28913541120,None,0,34.44
Simple8B,10891642104,2076.69,msrc_split,5666.21,300 files,-1,0,16,16,f,28906231360,None,0,37.68
SprintzDelta_16b -80,28725184,584.68,msrc_split,3477.37,300 files,-1,0,16,1,c,57381120,None,0,50.06
SprintzXff_16b -80,27920352,360.3,msrc_split,2453.04,300 files,-1,0,16,1,c,55776160,None,0,50.06
SprintzDelta_Huf_16b -80,27484724,318.01,msrc_split,613.92,300 files,-1,0,16,1,c,56202720,None,0,48.9
SprintzXff_Huf_16b -80,27716620,263.9,msrc_split,797.04,300 files,-1,0,16,1,c,56494400,None,0,49.06
SprintzDelta_16b -80,116424008,469.35,msrc_split,2865.5,300 files,-1,0,16,2,c,233507200,None,0,49.86
SprintzXff_16b -80,113494040,368.04,msrc_split,2951.89,300 files,-1,0,16,2,c,227311360,None,0,49.93
SprintzDelta_Huf_16b -80,110539230,323.72,msrc_split,763.79,300 files,-1,0,16,2,c,225771520,None,0,48.96
SprintzXff_Huf_16b -80,111300605,318.52,msrc_split,734.08,300 files,-1,0,16,2,c,227508320,None,0,48.92
SprintzDelta_16b -80,254927512,606.7,msrc_split,3591.13,300 files,-1,0,16,3,c,509640000,None,0,50.02
SprintzXff_16b -80,254254360,426.22,msrc_split,3794.08,300 files,-1,0,16,3,c,509149120,None,0,49.94
SprintzDelta_Huf_16b -80,250170849,458.37,msrc_split,846.48,300 files,-1,0,16,3,c,511067520,None,0,48.95
SprintzXff_Huf_16b -80,250095417,320.18,msrc_split,766.42,300 files,-1,0,16,3,c,510832640,None,0,48.96
SprintzDelta_16b -80,451862144,862.38,msrc_split,4409.18,300 files,-1,0,16,4,c,903199680,None,0,50.03
SprintzXff_16b -80,453049720,557.97,msrc_split,4169.16,300 files,-1,0,16,4,c,907625760,None,0,49.92
SprintzDelta_Huf_16b -80,443587968,421.14,msrc_split,763.41,300 files,-1,0,16,4,c,905682240,None,0,48.98
SprintzXff_Huf_16b -80,439849271,344.75,msrc_split,727.09,300 files,-1,0,16,4,c,898275040,None,0,48.97
SprintzDelta_16b -80,707867464,611.27,msrc_split,3952.67,300 files,-1,0,16,5,c,1414977440,None,0,50.03
SprintzXff_16b -80,705453936,547.21,msrc_split,3670.33,300 files,-1,0,16,5,c,1412477920,None,0,49.94
SprintzDelta_Huf_16b -80,688674340,425.6,msrc_split,770.94,300 files,-1,0,16,5,c,1406217920,None,0,48.97
SprintzXff_Huf_16b -80,690649034,332.33,msrc_split,737.5,300 files,-1,0,16,5,c,1411019680,None,0,48.95
SprintzDelta_16b -80,1018345456,801.0,msrc_split,4727.27,300 files,-1,0,16,6,c,2036439040,None,0,50.01
SprintzXff_16b -80,1012805480,592.09,msrc_split,3763.71,300 files,-1,0,16,6,c,2029123040,None,0,49.91
SprintzDelta_Huf_16b -80,993123813,433.61,msrc_split,781.2,300 files,-1,0,16,6,c,2028704480,None,0,48.95
SprintzXff_Huf_16b -80,992430523,369.88,msrc_split,725.88,300 files,-1,0,16,6,c,2028304640,None,0,48.93
SprintzDelta_16b -80,1383618728,777.35,msrc_split,4474.9,300 files,-1,0,16,7,c,2767364000,None,0,50.0
SprintzXff_16b -80,1380705072,542.78,msrc_split,3686.54,300 files,-1,0,16,7,c,2764850560,None,0,49.94
SprintzDelta_Huf_16b -80,1352756818,404.95,msrc_split,785.11,300 files,-1,0,16,7,c,2763906880,None,0,48.94
SprintzXff_Huf_16b -80,1350740221,332.27,msrc_split,726.36,300 files,-1,0,16,7,c,2761157600,None,0,48.92
SprintzDelta_16b -80,1807045424,704.95,msrc_split,3997.19,300 files,-1,0,16,8,c,3613953600,None,0,50.0
SprintzXff_16b -80,1797850632,370.84,msrc_split,3269.14,300 files,-1,0,16,8,c,3602443200,None,0,49.91
SprintzDelta_Huf_16b -80,1765941928,412.82,msrc_split,822.57,300 files,-1,0,16,8,c,3608131360,None,0,48.94
SprintzXff_Huf_16b -80,1764413737,374.93,msrc_split,764.43,300 files,-1,0,16,8,c,3606505440,None,0,48.92
SprintzDelta_16b -80,2285046344,771.16,msrc_split,4672.63,300 files,-1,0,16,9,c,4569190720,None,0,50.01
SprintzXff_16b -80,2279626720,583.62,msrc_split,3708.95,300 files,-1,0,16,9,c,4567505120,None,0,49.91
SprintzDelta_Huf_16b -80,2233280943,447.44,msrc_split,761.64,300 files,-1,0,16,9,c,4564959680,None,0,48.92
SprintzXff_Huf_16b -80,2233409638,344.29,msrc_split,746.71,300 files,-1,0,16,9,c,4565680640,None,0,48.92
SprintzDelta_16b -80,2813371424,831.4,msrc_split,4694.14,300 files,-1,0,16,10,c,5627287520,None,0,50.0
SprintzXff_16b -80,2824194672,599.02,msrc_split,3858.46,300 files,-1,0,16,10,c,5657056160,None,0,49.92
SprintzDelta_Huf_16b -80,2758249953,410.67,msrc_split,768.58,300 files,-1,0,16,10,c,5636317600,None,0,48.94
SprintzXff_Huf_16b -80,2754169159,330.77,msrc_split,770.75,300 files,-1,0,16,10,c,5630568000,None,0,48.91
SprintzDelta_16b -80,3411719816,745.36,msrc_split,4726.51,300 files,-1,0,16,11,c,6824684320,None,0,49.99
SprintzXff_16b -80,3416399920,518.49,msrc_split,3652.09,300 files,-1,0,16,11,c,6844141440,None,0,49.92
SprintzDelta_Huf_16b -80,3336868206,383.25,msrc_split,775.74,300 files,-1,0,16,11,c,6820962880,None,0,48.92
SprintzXff_Huf_16b -80,3332524330,324.76,msrc_split,766.82,300 files,-1,0,16,11,c,6811025280,None,0,48.93
SprintzDelta_16b -80,4062809240,802.49,msrc_split,5152.44,300 files,-1,0,16,12,c,8127600320,None,0,49.99
SprintzXff_16b -80,4060512632,600.9,msrc_split,4072.23,300 files,-1,0,16,12,c,8132842080,None,0,49.93
SprintzDelta_Huf_16b -80,3968280150,388.23,msrc_split,779.35,300 files,-1,0,16,12,c,8111066080,None,0,48.92
SprintzXff_Huf_16b -80,3970931884,331.1,msrc_split,708.99,300 files,-1,0,16,12,c,8113795360,None,0,48.94
SprintzDelta_16b -80,4772622976,730.94,msrc_split,4932.89,300 files,-1,0,16,13,c,9546446240,None,0,49.99
SprintzXff_16b -80,4762451224,597.31,msrc_split,3675.41,300 files,-1,0,16,13,c,9540139520,None,0,49.92
SprintzDelta_Huf_16b -80,4655048140,422.31,msrc_split,793.82,300 files,-1,0,16,13,c,9514794240,None,0,48.92
SprintzXff_Huf_16b -80,4662077888,351.4,msrc_split,746.64,300 files,-1,0,16,13,c,9522764640,None,0,48.96
SprintzDelta_16b -80,5535615360,746.78,msrc_split,4331.98,300 files,-1,0,16,14,c,11072317440,None,0,50.0
SprintzXff_16b -80,5521558464,522.74,msrc_split,3490.44,300 files,-1,0,16,14,c,11055895680,None,0,49.94
SprintzDelta_Huf_16b -80,5399587838,400.01,msrc_split,801.86,300 files,-1,0,16,14,c,11036048480,None,0,48.93
SprintzXff_Huf_16b -80,5408453800,343.24,msrc_split,741.18,300 files,-1,0,16,14,c,11046624960,None,0,48.96
SprintzDelta_16b -80,6356818400,795.05,msrc_split,4592.07,300 files,-1,0,16,15,c,12715032800,None,0,49.99
SprintzXff_16b -80,6336503584,501.87,msrc_split,3694.21,300 files,-1,0,16,15,c,12690113440,None,0,49.93
SprintzDelta_Huf_16b -80,6203025912,427.99,msrc_split,798.48,300 files,-1,0,16,15,c,12673383680,None,0,48.95
SprintzXff_Huf_16b -80,6207605009,315.66,msrc_split,740.54,300 files,-1,0,16,15,c,12681914880,None,0,48.95
SprintzDelta_16b -80,7227003000,747.99,msrc_split,4644.34,300 files,-1,0,16,16,c,14456770560,None,0,49.99
SprintzXff_16b -80,7217936440,557.7,msrc_split,3836.96,300 files,-1,0,16,16,c,14453115680,None,0,49.94
SprintzDelta_Huf_16b -80,7057814845,383.87,msrc_split,822.55,300 files,-1,0,16,16,c,14418663840,None,0,48.95
SprintzXff_Huf_16b -80,7059075483,374.79,msrc_split,743.3,300 files,-1,0,16,16,c,14422177600,None,0,48.95
Zstd -1,41201077,430.87,msrc_split,824.76,300 files,-1,0,16,1,f,57381120,None,0,71.8
Zstd -9,39750363,76.87,msrc_split,744.25,300 files,-1,0,16,1,f,55776160,None,0,71.27
Snappy,43536427,3753.2,msrc_split,6192.68,300 files,-1,0,16,1,f,56142400,None,0,77.55
LZ4,44051009,1910.14,msrc_split,5084.98,300 files,-1,0,16,1,f,58370720,None,0,75.47
Zlib -1,39087950,35.1,msrc_split,227.9,300 files,-1,0,16,1,f,57436640,None,0,68.05
Zlib -9,39723295,28.22,msrc_split,223.01,300 files,-1,0,16,1,f,58516960,None,0,67.88
Huffman,47838693,591.52,msrc_split,596.62,300 files,-1,0,16,1,f,58726144,None,0,81.46
Zstd -1,167386728,433.51,msrc_split,592.74,300 files,-1,0,16,2,f,233507200,None,0,71.68
Zstd -9,161574896,77.48,msrc_split,653.42,300 files,-1,0,16,2,f,227311360,None,0,71.08
Snappy,175780347,3679.11,msrc_split,5909.68,300 files,-1,0,16,2,f,226691040,None,0,77.54
LZ4,169327938,1908.88,msrc_split,6994.04,300 files,-1,0,16,2,f,224375680,None,0,75.47
Zlib -1,153900920,38.03,msrc_split,208.66,300 files,-1,0,16,2,f,226164000,None,0,68.05
Zlib -9,154342277,27.35,msrc_split,203.5,300 files,-1,0,16,2,f,225991840,None,0,68.3
Huffman,185242752,584.77,msrc_split,647.46,300 files,-1,0,16,2,f,227945024,None,0,81.27
Zstd -1,365998861,384.27,msrc_split,747.31,300 files,-1,0,16,3,f,509640000,None,0,71.82
Zstd -9,362613550,77.5,msrc_split,748.55,300 files,-1,0,16,3,f,509149120,None,0,71.22
Snappy,393953695,3761.17,msrc_split,6767.66,300 files,-1,0,16,3,f,508049920,None,0,77.54
LZ4,384395934,2022.93,msrc_split,7111.43,300 files,-1,0,16,3,f,509368480,None,0,75.47
Zlib -1,348038778,41.45,msrc_split,210.64,300 files,-1,0,16,3,f,511479840,None,0,68.05
Zlib -9,344839932,27.73,msrc_split,206.85,300 files,-1,0,16,3,f,505956640,None,0,68.16
Huffman,412389190,526.26,msrc_split,597.29,300 files,-1,0,16,3,f,507970688,None,0,81.18
Zstd -1,648700032,429.43,msrc_split,764.07,300 files,-1,0,16,4,f,903199680,None,0,71.82
Zstd -9,645971490,80.72,msrc_split,737.81,300 files,-1,0,16,4,f,907625760,None,0,71.17
Snappy,697678544,3659.65,msrc_split,7047.27,300 files,-1,0,16,4,f,899739680,None,0,77.54
LZ4,684389936,1908.21,msrc_split,6504.89,300 files,-1,0,16,4,f,906889600,None,0,75.47
Zlib -1,615521988,34.96,msrc_split,208.2,300 files,-1,0,16,4,f,904079680,None,0,68.08
Zlib -9,612200555,27.1,msrc_split,191.9,300 files,-1,0,16,4,f,899058080,None,0,68.09
Huffman,733251201,608.32,msrc_split,611.88,300 files,-1,0,16,4,f,903424576,None,0,81.16
Zstd -1,1016072425,410.03,msrc_split,753.25,300 files,-1,0,16,5,f,1414977440,None,0,71.81
Zstd -9,1005375443,77.36,msrc_split,699.1,300 files,-1,0,16,5,f,1412477920,None,0,71.18
Snappy,1095236056,3442.61,msrc_split,5649.06,300 files,-1,0,16,5,f,1412327680,None,0,77.55
LZ4,1062516845,1984.12,msrc_split,5022.95,300 files,-1,0,16,5,f,1407940960,None,0,75.47
Zlib -1,960280432,36.28,msrc_split,200.28,300 files,-1,0,16,5,f,1410355040,None,0,68.09
Zlib -9,954349525,27.09,msrc_split,191.85,300 files,-1,0,16,5,f,1402237920,None,0,68.06
Huffman,1144275955,532.99,msrc_split,564.84,300 files,-1,0,16,5,f,1410035776,None,0,81.15
Zstd -1,1461856076,396.77,msrc_split,782.67,300 files,-1,0,16,6,f,2036439040,None,0,71.78
Zstd -9,1443686863,81.15,msrc_split,735.43,300 files,-1,0,16,6,f,2029123040,None,0,71.15
Snappy,1577886778,3607.3,msrc_split,6408.42,300 files,-1,0,16,6,f,2034677920,None,0,77.55
LZ4,1523612788,1915.68,msrc_split,6335.78,300 files,-1,0,16,6,f,2018946240,None,0,75.47
Zlib -1,1383007902,37.09,msrc_split,211.04,300 files,-1,0,16,6,f,2031146560,None,0,68.09
Zlib -9,1387298928,27.61,msrc_split,210.56,300 files,-1,0,16,6,f,2037435040,None,0,68.09
Huffman,1642645377,603.37,msrc_split,618.5,300 files,-1,0,16,6,f,2023585472,None,0,81.17
Zstd -1,1985858277,441.17,msrc_split,732.29,300 files,-1,0,16,7,f,2767364000,None,0,71.76
Zstd -9,1968061366,79.89,msrc_split,668.5,300 files,-1,0,16,7,f,2764850560,None,0,71.18
Snappy,2136224442,3773.83,msrc_split,5640.3,300 files,-1,0,16,7,f,2754855520,None,0,77.54
LZ4,2088319148,1962.87,msrc_split,6415.34,300 files,-1,0,16,7,f,2767243520,None,0,75.47
Zlib -1,1888905719,38.54,msrc_split,209.71,300 files,-1,0,16,7,f,2776661440,None,0,68.03
Zlib -9,1887190188,27.85,msrc_split,202.51,300 files,-1,0,16,7,f,2770346880,None,0,68.12
Huffman,2242353569,574.56,msrc_split,604.2,300 files,-1,0,16,7,f,2763761568,None,0,81.13
Zstd -1,2593749092,416.59,msrc_split,724.58,300 files,-1,0,16,8,f,3613953600,None,0,71.77
Zstd -9,2563031894,78.06,msrc_split,692.94,300 files,-1,0,16,8,f,3602443200,None,0,71.15
Snappy,2803239861,3712.28,msrc_split,6412.83,300 files,-1,0,16,8,f,3614926880,None,0,77.55
LZ4,2728469357,1838.76,msrc_split,6238.17,300 files,-1,0,16,8,f,3615492800,None,0,75.47
Zlib -1,2460409692,36.35,msrc_split,209.57,300 files,-1,0,16,8,f,3616556160,None,0,68.03
Zlib -9,2463969340,27.72,msrc_split,203.77,300 files,-1,0,16,8,f,3616848480,None,0,68.12
Huffman,2925445521,602.81,msrc_split,600.51,300 files,-1,0,16,8,f,3604394208,None,0,81.16
Zstd -1,3279074073,458.01,msrc_split,782.28,300 files,-1,0,16,9,f,4569190720,None,0,71.76
Zstd -9,3249168356,78.73,msrc_split,683.36,300 files,-1,0,16,9,f,4567505120,None,0,71.14
Snappy,3548864451,3668.14,msrc_split,6689.83,300 files,-1,0,16,9,f,4576752800,None,0,77.54
LZ4,3457587632,1989.45,msrc_split,6478.43,300 files,-1,0,16,9,f,4581687520,None,0,75.47
Zlib -1,3111958569,36.94,msrc_split,216.12,300 files,-1,0,16,9,f,4571532000,None,0,68.07
Zlib -9,3111641489,28.02,msrc_split,205.72,300 files,-1,0,16,9,f,4566935840,None,0,68.13
Huffman,3722552328,604.45,msrc_split,624.94,300 files,-1,0,16,9,f,4586220000,None,0,81.17
Zstd -1,4037816881,442.04,msrc_split,752.57,300 files,-1,0,16,10,f,5627287520,None,0,71.75
Zstd -9,4024661909,81.43,msrc_split,710.78,300 files,-1,0,16,10,f,5657056160,None,0,71.14
Snappy,4379994862,3641.92,msrc_split,6929.21,300 files,-1,0,16,10,f,5648464800,None,0,77.54
LZ4,4260691617,1915.74,msrc_split,6054.87,300 files,-1,0,16,10,f,5645845760,None,0,75.47
Zlib -1,3837028089,36.24,msrc_split,215.35,300 files,-1,0,16,10,f,5636447200,None,0,68.08
Zlib -9,3844657771,27.14,msrc_split,204.63,300 files,-1,0,16,10,f,5644065440,None,0,68.12
Huffman,4583610482,529.03,msrc_split,596.47,300 files,-1,0,16,10,f,5646851680,None,0,81.17
Zstd -1,4896603787,424.87,msrc_split,739.73,300 files,-1,0,16,11,f,6824684320,None,0,71.75
Zstd -9,4869726784,77.02,msrc_split,674.36,300 files,-1,0,16,11,f,6844141440,None,0,71.15
Snappy,5297490823,3564.32,msrc_split,6157.24,300 files,-1,0,16,11,f,6831950400,None,0,77.54
LZ4,5140921353,1887.02,msrc_split,5873.26,300 files,-1,0,16,11,f,6812229280,None,0,75.47
Zlib -1,4655353096,35.36,msrc_split,203.34,300 files,-1,0,16,11,f,6839289280,None,0,68.07
Zlib -9,4647941277,29.02,msrc_split,198.28,300 files,-1,0,16,11,f,6824403680,None,0,68.11
Huffman,5549081566,541.99,msrc_split,602.33,300 files,-1,0,16,11,f,6836572800,None,0,81.17
Zstd -1,5831101169,378.91,msrc_split,687.68,300 files,-1,0,16,12,f,8127600320,None,0,71.74
Zstd -9,5786684786,79.8,msrc_split,668.49,300 files,-1,0,16,12,f,8132842080,None,0,71.15
Snappy,6294333804,3560.05,msrc_split,6186.95,300 files,-1,0,16,12,f,8117356480,None,0,77.54
LZ4,6136545006,1852.31,msrc_split,5950.87,300 files,-1,0,16,12,f,8131618560,None,0,75.47
Zlib -1,5527929731,34.51,msrc_split,210.68,300 files,-1,0,16,12,f,8122779360,None,0,68.05
Zlib -9,5524491619,28.61,msrc_split,201.62,300 files,-1,0,16,12,f,8113119040,None,0,68.09
Huffman,6582402972,576.11,msrc_split,605.51,300 files,-1,0,16,12,f,8112043648,None,0,81.14
Zstd -1,6850157179,406.18,msrc_split,723.37,300 files,-1,0,16,13,f,9546446240,None,0,71.76
Zstd -9,6787392409,81.84,msrc_split,660.98,300 files,-1,0,16,13,f,9540139520,None,0,71.15
Snappy,7389747949,2793.19,msrc_split,5315.76,300 files,-1,0,16,13,f,9529769600,None,0,77.54
LZ4,7203175492,1897.16,msrc_split,7038.2,300 files,-1,0,16,13,f,9544996160,None,0,75.47
Zlib -1,6479852623,38.59,msrc_split,210.32,300 files,-1,0,16,13,f,9523504640,None,0,68.04
Zlib -9,6487774023,27.0,msrc_split,208.02,300 files,-1,0,16,13,f,9528164160,None,0,68.09
Huffman,7739317161,580.91,msrc_split,605.56,300 files,-1,0,16,13,f,9536507328,None,0,81.15
Zstd -1,7944320432,452.61,msrc_split,760.66,300 files,-1,0,16,14,f,11072317440,None,0,71.75
Zstd -9,7868235708,74.63,msrc_split,719.12,300 files,-1,0,16,14,f,11055895680,None,0,71.17
Snappy,8584770816,3596.14,msrc_split,6435.8,300 files,-1,0,16,14,f,11070967680,None,0,77.54
LZ4,8340861580,1901.83,msrc_split,6608.96,300 files,-1,0,16,14,f,11052596000,None,0,75.47
Zlib -1,7516377374,38.06,msrc_split,222.35,300 files,-1,0,16,14,f,11045174880,None,0,68.05
Zlib -9,7544315962,28.3,msrc_split,210.45,300 files,-1,0,16,14,f,11078787520,None,0,68.1
Huffman,8992114741,574.11,msrc_split,650.28,300 files,-1,0,16,14,f,11080026304,None,0,81.16
Zstd -1,9123283004,413.56,msrc_split,764.97,300 files,-1,0,16,15,f,12715032800,None,0,71.75
Zstd -9,9031058202,74.08,msrc_split,674.69,300 files,-1,0,16,15,f,12690113440,None,0,71.17
Snappy,9848138440,3701.07,msrc_split,6398.34,300 files,-1,0,16,15,f,12700220640,None,0,77.54
LZ4,9571065084,1974.56,msrc_split,6406.91,300 files,-1,0,16,15,f,12682755200,None,0,75.47
Zlib -1,8643010581,36.74,msrc_split,212.68,300 files,-1,0,16,15,f,12702665760,None,0,68.04
Zlib -9,8656535415,26.72,msrc_split,201.34,300 files,-1,0,16,15,f,12709785280,None,0,68.11
Huffman,10320599882,580.5,msrc_split,602.93,300 files,-1,0,16,15,f,12715779616,None,0,81.16
Zstd -1,10372908787,441.36,msrc_split,766.27,300 files,-1,0,16,16,f,14456770560,None,0,71.75
Zstd -9,10286950792,81.85,msrc_split,709.66,300 files,-1,0,16,16,f,14453115680,None,0,71.17
Snappy,11189359198,3621.71,msrc_split,6545.09,300 files,-1,0,16,16,f,14429750880,None,0,77.54
LZ4,10903991957,1911.55,msrc_split,6890.05,300 files,-1,0,16,16,f,14449048800,None,0,75.47
Zlib -1,9840967863,41.65,msrc_split,233.48,300 files,-1,0,16,16,f,14459903680,None,0,68.06
Zlib -9,9834431580,26.6,msrc_split,205.78,300 files,-1,0,16,16,f,14442506720,None,0,68.09
Huffman,11720449305,588.89,msrc_split,599.5,300 files,-1,0,16,16,f,14441732288,None,0,81.16
